M-sce,Skrót,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,Σ
1,YCS,Yacht Club Sopot,,1,,1,,1,4,1,1,,,2,5,6,,,1,,2,2,21
2,MOS,MOS Iława,,3,1,,5,3,,,5,3,3,,2,2,,1,,1,,1,25
3,YKS,YKP Szczecin,2,,,2,2,5,2,,,5,1,,1,,1,,3,2,,5,26
4,GOR,KS Górnik Boguszowice,1,2,,3,1,,1,,4,,5,1,,5,4,,4,,1,,27
5,JKW,Jachtklub Wielkopolski Poznań,3,,2,,3,6,,5,3,,2,,,1,2,2,2,,,3,28
6,GRY,Jacht klub Gryf Gdynia,,4,4,4,,,3,,2,2,,3,,3,,3,7 (OCS),6,5,,39
7,DZY,PŻKS Dźygit Białystok,4,5,,5,,,6,2,,1,,4,4,,7 (OCS),4,,,4,4,43
8,OST,Klub Żeglarski Ostróda,5,,3,6,,4,,4,,6,,6,3,,5,7 (OCS),,3,3,,48
9,MUKZ,MUKŻ Bałtyk Mielno,,6,5,,4,2,,3,6,,4,,6,,3,5,,5,6,,49
10,YKW,YKP Warszawa,6,,6,,6,,5,6,,4,6,5,,4,,,5,4,,6,57