M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Σ
1, YCS,Yacht Club Sopot,1,4,2,2,1,3,2,1,1,2,1,2,1,23
2, JKKP,Jacht Klub Kamien Pomorski,2,2,2,1,1,1,4,1,2,2,1,1,3,23
3, OKZ,Olsztynski Klub Zeglarski,3,2,5,1,3,2,1,2,6 (OCS),1,3,2,1,32
4, MOS,MOS Ilawa,1,3,3,5,2,1,2,4,1,3,2,4,2,33
5, DZYGIT,PZKS DZYGIT,3,5,1,3,2,4,3,3,5,1,5,1,4,40
6, LEGIA,Legia Warszawa,4,1,1,2,5,5,3,5,2,4,3,3,5,43
7, JKM,JKM Gryf Gdynia,5,1,3,3,5,2,5,2,3,4,4,4,2,43
8, YCG,Yacht Club Gdańsk,5,4,4,4,4,3,1,4,4,5,5,3,4,50
9, TZR,PMT TZR Szczecin,4,3,5,4,3,5,5,5,6 (OCS),3,2,5,3,53
10, YCS AWF,YC Sztag AWF Katowice,2,5,4,5,4,4,4,3,3,5,4,5,5,53