M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,Σ
1, GIŻ,Giżycka Grupa Regatowa,2,1,3,1,1,1,5,1,1,2,3,4,25
2, JEZ,Jeziorak Yacht Club,3,1,5,1,4,1,2,4,3,1,1,2,28
3, POG,SEJK Pogoń Szczecin,1,2,1,3,1,2,1,2,4,5,2,5,29
4, LEG,Legia Warszawa,3,2,2,2,3,7 (DSQ),1,2,4,1,1,6,34
5, OKZ,Olsztyński Klub Żeglarski,4,3,2,4,4,2,4,3,2,3,2,1,34
6, DZY,PZKS Dżygit Białystok,1,5,5,7 (OCS),2,4,2,3,2,2,7 (DNF),4,44
7, SZT,Sztorm Grupa,5,5,4,3,2,6,4,4,1,6,4,3,47
8, IS2,KS Iskra AMW Gdynia,6,4,1,5,3,7 (DSQ),5,1,3,3,6,6,50
9, ODY,Odyssey Sailing Club,5,3,3,5,5,3,3,6,5,5,5,2,50
10, JKM,JKM Gryf Gdynia,4,6,6,2,5,3,3,5,5,6,3,3,51
11, YCS,Yacht Club Sopot,2,4,6,4,6,4,6,5,6,4,4,5,56
12, OD2,Odyssey Sailing Club,6,6,4,6,6,5,6,6,6,4,7 (OCS),1,63