M-sce,Skrót,Klub,Σ
1, AWF,AZS AWFiS Gdańsk,-
2, PGR,AZS Politechnika Gdańska,-
3, WAT,AZS WAT Warszawa,-
4, BLX,Balex YKP Gdynia,-
5, GGR,Giżycka Grupa Regatowa Nowy Sztynort Osada Wolności,-
6, JNG,Junga Gdynia Olsztyński Klub Żeglarski,-
7, ISK,KS Iskra AMW Gdynia,-
8, LEG,Legia Warszawa,-
9, GAR,Miasto Gliwice KW Garland,-
10, ODY,Odyssey Sailing Club,-
11, POG,Pogoń Szczecin,-
12, SPO,Sport Vita Ski&Sail,-
13, SZT,Sztorm Grupa,-
14, WRO,UKS Żeglarz Wrocław,-
15, YKS,YKP Szczecin,-
16, YCB,Yacht Club Białołęka,-
17, YCG,Yacht Club Gdańsk,-
18, YCS,Yacht Club Sopot,-