M-sce,Skrót,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,Σ
1, ONB,Onboard,1,1,,1,2,,1,1,,1,1,,1,2,,2,2,,1,5,,22
2, MEC,Port Mechelinki,,3,1,,3,4,,2,1,,2,1,,6,1,,1,2,,3,8,38
3, BSA,BSA Flota Gdynia,2,,4,4,,5,3,,4,2,,2,2,,4,1,,4,2,,1,40
4, NSZ,Jachtklub Nowy Sztynort,,2,2,,4,3,,3,2,,3,3,,4,3,,3,3,,1,4,40
5, YKW,YKP Warszawa,3,,3,2,,1,2,,3,4,,5,4,,2,3,,1,7,,2,42
6, SOL,KS Puchar Soliny,4,5,,3,7,,4,4,,6,8,,5,3,,4,5,,3,2,,63
7, R2S,R2 Sailing Team,,4.7 (RDG),5,,5,2,,7,6,,4,6,,1,6,,8,7,,7,3,71.7
8, YZ2,YKP Szczecin 2,,4,6,,6,6,,5,5,,5,4,,7,5,,7,5,,4,6,75
9, RBP,Regatta Business Poland,7,7,,5,1,,5,8,,7,6,,7,8,,5,4,,5,6,,81
10, HEA,Hear Studio Sailing Team,5,6,,6,8,,6,6,,5,7,,3,5,,6,6,,8,8,,85
11, SRC,Symfonia Racing,6,,7,7,,7,8,,7,3,,7,6,,7,7,,6,4,,5,87
12, AZS,AZS Poznań,8 (RDG),,8,8,,8,7,,8,9 (OCS),,8,8,,8,8,,8,6,,7,109