ID_wystepowania,ID_Zawodnika,ID_Regat,Skrot,Trening
997221,99722,202411,YCG,
997961,99796,202411,YCG,
488851,48885,202411,YCG,
302381,30238,202411,YCG,
302382,30238,202421,YCG,
997222,99722,202421,YCG,
488852,48885,202421,YCG,
997962,99796,202421,YCG,
302383,30238,202431,YCG,
488853,48885,202431,YCG,
997223,99722,202431,YCG,
997963,99796,202431,YCG,
309034,30903,202441,YCG,
997224,99722,202441,YCG,
488854,48885,202441,YCG,
997964,99796,202441,YCG,
422284,42228,202441,YCG,
726911,72691,202411,POG,
229501,22950,202411,POG,
948231,94823,202411,POG,
63421,6342,202411,POG,
726912,72691,202421,POG,
229502,22950,202421,POG,
948232,94823,202421,POG,
983122,98312,202421,POG,
726913,72691,202431,POG,
509213,50921,202431,POG,
229503,22950,202431,POG,
983123,98312,202431,POG,
2023,202,202431,POG,
726914,72691,202441,POG,
229504,22950,202441,POG,
948234,94823,202441,POG,
983124,98312,202441,POG,
286324,28632,202441,POG,
985741,98574,202411,YCS,
139581,13958,202411,YCS,
755621,75562,202411,YCS,
607991,60799,202411,YCS,
458372,45837,202421,YCS,
139582,13958,202421,YCS,
607992,60799,202421,YCS,
755622,75562,202421,YCS,
458373,45837,202431,YCS,
607993,60799,202431,YCS,
139583,13958,202431,YCS,
755623,75562,202431,YCS,
458374,45837,202441,YCS,
139584,13958,202441,YCS,
607994,60799,202441,YCS,
755624,75562,202441,YCS,
713861,71386,202411,YKS,
647231,64723,202411,YKS,
170461,17046,202411,YKS,
862581,86258,202411,YKS,
713862,71386,202421,YKS,
548382,54838,202421,YKS,
97142,9714,202421,YKS,
170462,17046,202421,YKS,
713863,71386,202431,YKS,
170463,17046,202431,YKS,
862583,86258,202431,YKS,
647233,64723,202431,YKS,
713864,71386,202441,YKS,
170464,17046,202441,YKS,
647234,64723,202441,YKS,
862584,86258,202441,YKS,
561281,56128,202411,YKP,
847471,84747,202411,YKP,
343321,34332,202411,YKP,
156521,15652,202411,YKP,
561282,56128,202421,YKP,
599082,59908,202421,YKP,
847472,84747,202421,YKP,
826732,82673,202421,YKP,
826733,82673,202431,YKP,
599083,59908,202431,YKP,
847473,84747,202431,YKP,
199093,19909,202431,YKP,
190413,19041,202431,YKP,
156524,15652,202441,YKP,
343324,34332,202441,YKP,
561284,56128,202441,YKP,
39594,3959,202441,YKP,
293011,29301,202411,WAT,
344391,34439,202411,WAT,
842501,84250,202411,WAT,
961791,96179,202411,WAT,
293012,29301,202421,WAT,
842502,84250,202421,WAT,
961792,96179,202421,WAT,
344392,34439,202421,WAT,
293013,29301,202431,WAT,
842503,84250,202431,WAT,
961793,96179,202431,WAT,
344393,34439,202431,WAT,
293014,29301,202441,WAT,
961794,96179,202441,WAT,
344394,34439,202441,WAT,
424694,42469,202441,WAT,
100181,10018,202411,WRO,
569941,56994,202411,WRO,
716971,71697,202411,WRO,
41991,4199,202411,WRO,
74701,7470,202411,WRO,
100182,10018,202421,WRO,
569942,56994,202421,WRO,
716972,71697,202421,WRO,
41992,4199,202421,WRO,
100183,10018,202431,WRO,
569943,56994,202431,WRO,
716973,71697,202431,WRO,
272193,27219,202431,WRO,
100184,10018,202441,WRO,
569944,56994,202441,WRO,
716974,71697,202441,WRO,
41994,4199,202441,WRO,
380101,38010,202411,NSO,
857281,85728,202411,NSO,
450391,45039,202411,NSO,
697941,69794,202411,NSO,
303551,30355,202411,NSO,
380102,38010,202421,NSO,
450392,45039,202421,NSO,
857282,85728,202421,NSO,
697942,69794,202421,NSO,
303552,30355,202421,NSO,
684572,68457,202421,NSO,
380103,38010,202431,NSO,
857283,85728,202431,NSO,
450393,45039,202431,NSO,
697943,69794,202431,NSO,
684573,68457,202431,NSO,
380104,38010,202441,NSO,
857284,85728,202441,NSO,
697944,69794,202441,NSO,
303554,30355,202441,NSO,
450394,45039,202441,NSO,
684574,68457,202441,NSO,
892554,89255,202441,NSO,
238921,23892,202411,HRM,
847101,84710,202411,HRM,
653371,65337,202411,HRM,
291071,29107,202411,HRM,
263671,26367,202411,HRM,
847102,84710,202421,HRM,
238922,23892,202421,HRM,
263672,26367,202421,HRM,
441782,44178,202421,HRM,
653372,65337,202421,HRM,
263673,26367,202431,HRM,
847103,84710,202431,HRM,
238923,23892,202431,HRM,
653373,65337,202431,HRM,
441783,44178,202431,HRM,
847104,84710,202441,HRM,
653374,65337,202441,HRM,
238924,23892,202441,HRM,
291074,29107,202441,HRM,
263674,26367,202441,HRM,
441784,44178,202441,HRM,
947311,94731,202411,LEG,
182861,18286,202411,LEG,
453051,45305,202411,LEG,
720581,72058,202411,LEG,
365862,36586,202421,LEG,
122732,12273,202421,LEG,
720582,72058,202421,LEG,
356212,35621,202421,LEG,
356213,35621,202431,LEG,
365863,36586,202431,LEG,
720583,72058,202431,LEG,
122733,12273,202431,LEG,
365864,36586,202441,LEG,
356214,35621,202441,LEG,
720584,72058,202441,LEG,
122734,12273,202441,LEG,
337461,33746,202411,PGR,
45311,4531,202411,PGR,
327021,32702,202411,PGR,
309091,30909,202411,PGR,
433312,43331,202421,PGR,
533652,53365,202421,PGR,
45312,4531,202421,PGR,
327022,32702,202421,PGR,
327023,32702,202431,PGR,
745173,74517,202431,PGR,
337463,33746,202431,PGR,
433313,43331,202431,PGR,
365294,36529,202441,PGR,
586804,58680,202441,PGR,
397994,39799,202441,PGR,
433314,43331,202441,PGR,
299401,29940,202411,AWF,
582081,58208,202411,AWF,
152681,15268,202411,AWF,
520601,52060,202411,AWF,
152682,15268,202421,AWF,
299402,29940,202421,AWF,
520602,52060,202421,AWF,
582082,58208,202421,AWF,
224913,22491,202431,AWF,
582083,58208,202431,AWF,
152683,15268,202431,AWF,
520603,52060,202431,AWF,
520604,52060,202441,AWF,
955224,95522,202441,AWF,
582084,58208,202441,AWF,
152684,15268,202441,AWF,
701491,70149,202411,YKL,
896531,89653,202411,YKL,
560021,56002,202411,YKL,
22481,2248,202411,YKL,
653151,65315,202411,YKL,
701492,70149,202421,YKL,
896532,89653,202421,YKL,
653152,65315,202421,YKL,
683532,68353,202421,YKL,
701493,70149,202431,YKL,
896533,89653,202431,YKL,
22483,2248,202431,YKL,
560023,56002,202431,YKL,
701494,70149,202441,YKL,
896534,89653,202441,YKL,
560024,56002,202441,YKL,
653154,65315,202441,YKL,
259801,25980,202411,RSR,
862201,86220,202411,RSR,
774001,77400,202411,RSR,
934541,93454,202411,RSR,
259802,25980,202421,RSR,
748072,74807,202421,RSR,
934542,93454,202421,RSR,
774002,77400,202421,RSR,
259803,25980,202431,RSR,
774003,77400,202431,RSR,
748073,74807,202431,RSR,
934543,93454,202431,RSR,
748074,74807,202441,RSR,
259804,25980,202441,RSR,
774004,77400,202441,RSR,
934544,93454,202441,RSR,
40021,4002,202411,WOL,
61761,6176,202411,WOL,
719631,71963,202411,WOL,
433521,43352,202411,WOL,
40022,4002,202421,WOL,
433522,43352,202421,WOL,
886952,88695,202421,WOL,
61762,6176,202421,WOL,
903692,90369,202421,WOL,
40023,4002,202431,WOL,
433523,43352,202431,WOL,
886953,88695,202431,WOL,
719633,71963,202431,WOL,
433524,43352,202441,WOL,
719634,71963,202441,WOL,
40024,4002,202441,WOL,
886954,88695,202441,WOL,
739564,73956,202441,WOL,
260251,26025,202411,SPO,
768211,76821,202411,SPO,
65571,6557,202411,SPO,
107921,10792,202411,SPO,
635732,63573,202421,SPO,
65572,6557,202421,SPO,
768212,76821,202421,SPO,
260252,26025,202421,SPO,
107922,10792,202421,SPO,
107923,10792,202431,SPO,
984183,98418,202431,SPO,
768213,76821,202431,SPO,
635733,63573,202431,SPO,
107924,10792,202441,SPO,
768214,76821,202441,SPO,
984184,98418,202441,SPO,
635734,63573,202441,SPO,
586871,58687,202411,KKZ,
610601,61060,202411,KKZ,
126761,12676,202411,KKZ,
266861,26686,202411,KKZ,
610602,61060,202421,KKZ,
586872,58687,202421,KKZ,
266862,26686,202421,KKZ,
656342,65634,202421,KKZ,
586873,58687,202431,KKZ,
610603,61060,202431,KKZ,
656343,65634,202431,KKZ,
266863,26686,202431,KKZ,
610604,61060,202441,KKZ,
586874,58687,202441,KKZ,
656344,65634,202441,KKZ,
66704,6670,202441,KKZ,
95091,9509,202411,OCC,
457601,45760,202411,OCC,
438981,43898,202411,OCC,
595711,59571,202411,OCC,
117232,11723,202421,OCC,
786832,78683,202421,OCC,
483392,48339,202421,OCC,
617002,61700,202421,OCC,
595712,59571,202421,OCC,
95093,9509,202431,OCC,
457603,45760,202431,OCC,
595713,59571,202431,OCC,
438983,43898,202431,OCC,
84603,8460,202431,OCC,
84604,8460,202441,OCC,
95094,9509,202441,OCC,
457604,45760,202441,OCC,
299754,29975,202441,OCC,
