M-sce,Skrót,Zespół,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Fi 1,Σ
1,PGR,AZS Politechnika Gdańska,2,2,3,2,4,1,1,1,5,1,2,1,1,1,27
2,FLO,WKS Flota Gdynia,5,6,1,2,1,1,3,5,2,6,3,2,3,6,46
3,YKW,YKP Warszawa,4,1,2,6,2,7,3,5,3,3,2,4,3,7,52
4,SLA,Slava Racing,7,1,4,5,4,6,1,3,1,8,6,4,4,2,56
5,OKZ,Olsztyński Klub Żeglarski,9,2,10,1,6,5,2,3,2,3,1,3,6,4,57
6,GAR,KW Garland,5,5,6,3,3,9,5,1,9,5,1,2,8,3,65
7,TBD,The Barking Dogs YCG,4,8,1,3,1,3,9,2,1,5,6,8,7,9,67
8,MAG,Yacht Club Mechelinki,3,3,3,9,5,8,2,7,4,4,9,1,5,5,68
9,PRN,Fundacja Żeglarska PRO NAUTIS,1,3,8,1,5,7,7,6,7,1,8,9,4,8,75
10,YCB,Yacht Club Białołęka,1,8,9,7,3,2,5,4,7,4,3,6,9,1,69
11,OGR,Olsztyńska Grupa Regatowa,8,6,5,4,8,4,6,8,3,2,5,7,2,3,71
12,WOL,UKS Albatros Woiln,7,9,2,5,7,6,6,2,5,7,4,7,2,5,74
13,HAL,KŻ Hals Gostynin,3,7,7,4,6,3,4,8,4,9,9,3,6,7,80
14,TXT,Texet – JKW Sailing Team,9,5,4,7,2,5,4,6,8,9,7,6,7,2,81
15,NAV,UKS Navigo,2,4,7,6,8,4,9,7,9,2,4,8,5,9,84
16,JSG,MOWI Jacht Klub Stoczni Gdańskiej,6,4,8,8,7,2,8,9,6,8,7,5,1,6,85
17,KKZ,Kościański Klub Żeglarski,6,9,5,8,9,8,8,4,6,6,5,5,9,4,92
18,YS2,Yacht Club Sopot 2,8,7,6,9,9,9,7,9,8,7,8,9,8,8,112