M-sce,Skrót,Zespół,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,Fi 1,Σ
1,HRM,HRM Racing,2,1,5,5,1,2,1,1,4,6,1,1,1,31
2,PGR,AZS Politechnika Gdańska,5,1,1,1,1,6,5,3,1,2,1,5,2,34
3,YCJ,Yacht Club Gdańsk Junior,1,3,3,2,6,4,3,3,2,1,2,3,4,37
4,MUS,Politechnika Morska Szczecin,2,2,1,4,2,1,5,8,6,3,5,4,3,46
5,INP,Inplag Sailing Team,5,3,2,7,3,4,1,5,6,2,2,2,5,47
6,NAU,Nauticus Olsztyn,4,2,4,2,5,2,2,6,4,4,5,3,6,49
7,OKZ,Olsztyński Klub Żeglarski,1,4,4,1,3,1,2,4,5,3,6,8 (OCS),8 (RET),50
8,RRS,Centrum Żeglarskie Szczecin,3,4,5,6,5,3,6,2,1,3,3,2,,43.9
9,YCS,Yacht Club Sopot,3,5,2,4,2,3,4,2,7,5,4,5,,46
10,LAM,UKŻ Lamelka Kartuzy,6,5,3,3,4,8,3,4,3,1,4,6,,52
11,AMW,KS Iskra AMW Gdynia,7,6,6,5,7,5,4,1,3,5,3,1,,53
12,YCY,Yacht Club Gdańsk Youth,4,7,7,3,6,5,7,5,5,4,6,4,,63
13,MAG,MAG Mechelinki,6,6,6,6,4,8,6,7,2,7,7,6,,71
14,PRO,ProSport Caravela,7,7,7,7,7,7,7,6,7,6,9,7,,84