Plik,Skrót,Nazwa
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,JKW,Jachtklub Wielkopolski Poznań
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,JKM,Jachtklub Gryf Gdynia
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,YKS,YKP Szczecin
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,OST,Klub Żeglarski Ostróda
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,MUKZ,MUKŻ Bałtyk Mielno
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,GOR,KS Górnik Boguszowice
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,DZY,PŻKS Dźygit Białystok
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,HORN,KŻ Horn Kraków
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,YKS,YKP Szczecin
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,JKW,Jachtklub Wielkopolski Poznań
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,GOR,KS Górnik Boguszowice
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,JKM,Jacht Klub Gryf Gdynia
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,MUKZ,MUKŻ Bałtyk Mielno
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,KSO,Klub Żeglarski Ostróda
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,DZY,PŻKS Dźygit Białystok
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,MOS,MOS Iława
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,YKS,YKP Szczecin
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,JKW,Jachtklub Wielkopolski Poznań
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,GOR,KS Górnik Boguszowice
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,JKM,Jacht Klub Gryf Gdynia
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,DZY,PŻKS Dźygit Białystok
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,MUKZ,MUKŻ Bałtyk Mielno
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,OST,Klub Żeglarski Ostróda
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,YKW,YKP Warszawa
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,MOS,MOS Iława
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,YKS,YKP Szczecin
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,GOR,KS Górnik Boguszowice
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,JKW,Jachtklub Wielkopolski Poznań
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,GRY,Jacht klub Gryf Gdynia
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,DZY,PŻKS Dźygit Białystok
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,OST,Klub Żeglarski Ostróda
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,MUKZ,MUKŻ Bałtyk Mielno
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,YKW,YKP Warszawa
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,RMR,MBSW Rainmaker Giżycko
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,TZR,DTP PMT TŻR Szczecin
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,DZY,PŻKS DŻYGIT Białystok
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,GKZ,Procad GKŻ Gdańsk
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,JKKP,Jacht Klub Kamień Pomorski
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,PGR,AZS Politechnika Gdańska
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,MOS,SailingEvent MOS Iława
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,JKW,HRM Racing JKW Poznań
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,SZT,Sztorm Grupa Warszawa
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,JKM,Windward Jacht Klub Gryf Gdynia
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,REW,Baltic Trans Yacht Club Rewa
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,AWK,AWF Katowice
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,JKKP,Jacht Klub Kamień Pomorski
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,TZR,DTP PMT TŻR Szczecin
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,RMR,MBSW Rainmaker Giżycko
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,SZT,Sztorm Grupa Warszawa
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,JKW,HRM Racing JKW Poznań
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,AWK,AWF Katowice
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,PGR,AZS Politechnika Gdańska
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,DZY,PŻKS DŻYGIT Białystok
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,JKM,Windward Jacht Klub Gryf Gdynia
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,REW,Baltic Trans Yacht Club Rewa
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,GKZ,Procad GKŻ Gdańsk
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,PGR,AZS Politechnika Gdańska
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,REW,Baltic Trans Yacht Club Rewa
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,MOS,SailingEvent MOS Iława
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,GKZ,Procad GKŻ Gdańsk
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,SZT,Sztorm Grupa Warszawa
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,JKKP,Jacht Klub Kamień Pomorski
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,JKW,HRM Racing JKW Poznań
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,AWK,AWF Katowice
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,JKM,Windward Jacht Klub Gryf Gdynia
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,TZR,DTP PMT TŻR Szczecin
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,RMR,MBSW Rainmaker Giżycko
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,DZY,PŻKS DŻYGIT Białystok
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,MOS,SailingEvent MOS Iława
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,PGR,AZS Politechnika Gdańska
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,RMR,MBSW Rainmaker Giżycko
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,JKKP,Jacht Klub Kamień Pomorski
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,TZR,DTP PMT TŻR Szczecin
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,AWK,AWF Katowice
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,GKZ,Procad GKŻ Gdańsk
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,JKW,HRM Racing JKW Poznań
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,JKM,Windward Jacht Klub Gryf Gdynia
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,DZY,PŻKS DŻYGIT Białystok
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,SZT,Sztorm Grupa Warszawa
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,REW,Baltic Trans Yacht Club Rewa
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,MOS,MOS Ilawa
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,JKKP,Jacht Klub Kamien Pomorski
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,TZR,PMT TZR Szczecin
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,LEGIA,Legia Warszawa
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,KPM,Klub Port Mechelinki
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,JKM,JKM Gryf Gdynia
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,YCS AWF,YC Sztag AWF Katowice
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,DZYGIT,PZKS DZYGIT
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,OKZ,Olsztynski Klub Zeglarski
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,JKW,Jacht Klub Wielkopolski Poznań
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,JKKP,Jacht Klub Kamien Pomorski
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,TZR,PMT TZR Szczecin
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,MOS,MOS Ilawa
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,OKZ,Olsztynski Klub Zeglarski
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,DZYGIT,PZKS DZYGIT
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,JKM,JKM Gryf Gdynia
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,YCS AWF,YC Sztag AWF Katowice
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,JKKP,Jacht Klub Kamien Pomorski
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,OKZ,Olsztynski Klub Zeglarski
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,MOS,MOS Ilawa
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,DZYGIT,PZKS DZYGIT
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,LEGIA,Legia Warszawa
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,JKM,JKM Gryf Gdynia
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,TZR,PMT TZR Szczecin
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,YCS AWF,YC Sztag AWF Katowice
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,OKZ,Olsztynski Klub Zeglarski
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,MOS,MOS Ilawa
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,JKKP,Jacht Klub Kamien Pomorski
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,TZR,PMT TZR Szczecin
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,LEGIA,Legia Warszawa
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,YCS AWF,YC Sztag AWF Katowice
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,JKM,JKM Gryf Gdynia
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,DZYGIT,PZKS DZYGIT
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,JEZ,Yacht Club Jeziorak
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,OKZ,Olsztynski Klub Zeglarski
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,POG,SEJK Pogon Szczecin
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,JK2,Jacht Klub Gryf Gdynia 2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,DZY,PZKS Dzygit Bialystok
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,JKM,Jacht Klub Gryf Gdynia
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,WTZ,Warszawskie Towarzystwo Zeglarskie
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,YC2,Yacht Club Sopot 2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,BOL,Sailing Team Boleslawiec
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,POG,SEJK Pogon Szczecin
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,JEZ,Yacht Club Jeziorak
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,OKZ,Olsztynski Klub Zeglarski
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,JK2,Jacht Klub Gryf Gdynia 2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,JKM,Jacht Klub Gryf Gdynia
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,WTZ,Warszawskie Towarzystwo Zeglarskie
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,DZY,PZKS Dzygit Bialystok
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,YC2,Yacht Club Sopot 2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,BOL,Sailing Team Boleslawiec
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,OKZ,Olsztynski Klub Zeglarski
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,JKM,Jacht Klub Gryf Gdynia
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,JEZ,Yacht Club Jeziorak
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,POG,SEJK Pogon Szczecin
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,WTZ,Warszawskie Towarzystwo Zeglarskie
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,YC2,Yacht Club Sopot 2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,BOL,Sailing Team Boleslawiec
