M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,FNL,Σ
1,MEC,Port Mechelinki,1,2,2,1,1,1,1,5,8,3,7,3,35
2,GAR,KW Garland Gliwice,8,1,6,4,1,3,5,2,1,2,1,2,36
3,SZT,Sztorm Grupa Warszawa,3,5,6,2,8,2,1,3,2,2,4,1,39
4,YCB,Yacht Club Białołęka,1,3,7,4,2,4,2,1,1,4,4,9,42
5,ISK,KS Iskra AMW Gdynia,6,1,1,1,3,2,2,3,5,7,6,6,43
6,NAV,UKS Navigo,4,4,4,2,2,6,9,9,7,1,3,4,55
7,NIE,KS Marina Niesulice,2,5,1,5,5,1,9,7,3,6,7,6 (SCP),57
8,ONB,Onboard,5,6,8,7,9,9,4,4,2,1,1,7,63
9,OKZ,Olsztyński Klub Żeglarski,8,3,5,3,5,9,5,4,4,5,5,8,64
10,BSA,BSA Flota Gdynia,7,6,2,8,8,3,3,2,9,4,5,1,58
11,YS2,Yacht Club Sopot 2,4,2,3,9,4,7,6,8,4,6,8,2,63
12,PJK,Puchar Polski Jachtów Kabinowych,3,10 (OCS),10 (SCP),5,6,5,9 (SCP),1,3,3,2,8,65
13,HAL,KŻ Hals Gostynin,5,4,10 (OCS),6,4,6,3,6,8,8,9,3,72
14,JSG,MOWI Jachtklub Stoczni Gdańskiej,2,7,4,9,9,8,7,8,5,8,6,5,78
15,ODY,Odyssey Sailing Club,6,9,7,8,3,4,6,9,7,5,8,6,78
16,ETI,Etisoft 2KMM Sailing Team,9,8,5,6,7,5,8,5,9,9,3,7,81
17,SLA,Slava Racing,7,10 (NSC),3,3,6,8,7,6,6,13 (RET + SCP),9,4,82
18,YKW,YKP Warszawa,9,10 (DSQ),8,7,7,7,4,7,6,7,2,9,83