M-sce,Skrót,Zespół,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Fi 1,Σ
1,NSO,Nowy Sztynort Osada Wolności GGR,1,3,2,2,1,3,4,4.00,9,3,3,1,36
2,YCS,Yacht Club Sopot,7,1,3,6,4,1,1,1.00,4,4,7,2,41
3,RSR,On Lemon Rockstars Racing,8,4,2,2,2,2,2,3.00,3,2,5,8,43
4,YKP,YKP Gdynia,1,2,1,4,1,4,7,9.00,3,5,4,4,45
5,ONB,Onboard,3,3,1,4,7,1,2,1.00,8,6,7,5,48
6,ISK,KS Iskra AMW Gdynia,2,8,5,3,3,3,1,8.00,6,2,5,3,49
7,YKS,YKP Szczecin,5,4,4,1,7,5,3,4.00,5,6,2,7,53
8,YKL,Lubelskie YKP Lublin,2,6,3,6,8,2,6,2.00,6,7,1,6,55
9,YCG,Yacht Club Gdańsk,5,1,9,3,2,8,9,0.00,1,1,3,9,61
10,SPO,Sport Vita Ski & Sail,9,5,6,1,8,5,8,5.00,2,4,1,2,56
11,POG,SEJK Pogoń Szczecin,6,5,7,7,9,9,6,5.00,2,1,4,3,64
12,AWF,AZS AWFiS Gdańsk,4,8,7,8,5,7,5,7.00,4,3,6,1,65
13,HRM,HRM Racing,6,6,4,5,5,6,5,2.00,1,5,0,0,65
14,SZT,Sztorm Grupa,4,2,5,7,4,8,3,6.00,8,7,9,5,68
15,LEG,Legia Warszawa,9,7,8,8,6,9,4,6.00,5,8,2,4,76
16,NIE,KS Marina Niesulice,7,7,8,5,3,7,7,8.00,7,9,8,6,82
17,WRO,FinGo Capital UKS Żeglarz Wrocław,3,9,9,9,6,4,8,3.00,7,8,6,0,82
18,WAT,AZS WAT Warszawa,8,9,6,9,9,6,9,7.00,9,0,8,0,100