M-sce,Skrót,Zespół,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Fnl,Σ
1,PGR,AZS Politechnika Gdańska,2,3,1,1,1,4,3,3,1,2,3,,24
2,YCJ,Yacht Club Gdańsk Junior,1,5,2,2,3,1,1,1,3,5,1,,25
3,AMW,KS Iskra AMW Gdynia,5,2,1,3,2,3,4,1,1,4,2,,28
4,HRM,HRM Racing,3,2,8,1,1,1,2,7,2,1,1,,29
5,OKZ,Olsztyński Klub Żeglarski,2,6,2,3,4,2,5,2,6,2,4,,38
6,LAM,UKŻ Lamelka Kartuzy,1,5,3,2,2,4,4,2,4,7,5,,39
7,YCS,Yacht Club Sopot,3,1,4,4,7,5,6,3,7,1,3,,44
8,INP,Inplag Sailing Team,4,3,5,6,5,3,1,6,4,3,4,3,47
9,NAU,Nauticus Olsztyn,8,4,6,5,7,2,5,5,2,5,2,2,53
10,MUS,Politechnika Morska Szczecin,6,1,5,6,6,6,3,4,3,3,5,5,53
11,YCY,Yacht Club Gdańsk Youth,7,7,3,5,3,6,2,4,5,4,7,4,57
12,RRS,Centrum Żeglarskie Szczecin,4,4,6,4,5,5,7,5,5,6,6,6,63
13,MAG,MAG Mechelinki,6,6,7,7,4,7,7,6,6,6,6,1,69
14,PRO,ProSport Caravela,5,7,4,7,6,7,6,7,7,7,7,7,77